BRAND,DNLA,SKU_NO,SEQNUM,INCLUDES,INCLUDES_RAW,INCLUDED_QTY,LINK_SKU
Impact,N,429685,1,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,429686,1,"24 x 24"" Softbox","24 x 24"" Softbox",1,
Impact,N,429686,2,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,437786,1,10.5' Stands,10.5'  Stands,2,
Impact,N,437786,2,Crossbar Sections,Crossbar Sections,4,
Impact,N,437786,3,Canvas Case,Canvas Case,1,
Impact,N,437786,4,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,445205,1,Front Lens Cap,Front Lens Cap,1,
Impact,N,445205,2,Rear Lens Cap,Rear Lens Cap,1,
Impact,N,445205,3,Carrying Pouch,Carrying Pouch,1,
Impact,N,445205,4,1-Year Warranty,1-Year Warranty,1,
Impact,N,445217,1,Lens Pouch,Lens Pouch,1,
Impact,N,445217,2,Front and Rear Lens Cover,Front and Rear Lens Cover,1,
Impact,N,445217,3,1-Year Warranty,1-Year Warranty,1,
Impact,N,445219,1,Lens Pouch,Lens Pouch,1,
Impact,N,445219,2,Front and Rear Lens Cover,Front and Rear Lens Cover,1,
Impact,N,445219,3,1 Year Warranty,1 Year Warranty,1,
Impact,N,459064,1,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,459067,1,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,459068,1,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,459069,1,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,479657,1,Spiral Fluorescent Lamp - 27/30 Watts/120 Volts,Spiral Fluorescent Lamp - 27/30 Watts/120 Volts,3,371047
Impact,N,479657,2,Diffusion Panel,Diffusion Panel,1,
Impact,N,479657,3,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,479658,1,"18.5"" Reflector","18.5"" Reflector",1,
Impact,N,479658,2,Internal Diffusion Panel,Internal Diffusion Panel,1,
Impact,N,479658,3,Spiral Fluorescent Lamp - 27/30 Watts/120 Volts,Spiral Fluorescent Lamp - 27/30 Watts/120 Volts,5,371047
Impact,N,479658,4,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,486602,1,Lens Pouch,Lens Pouch,1,
Impact,N,486602,2,Front and Rear Lens Cover,Front and Rear Lens Cover,1,
Impact,N,486602,3,1-Year Warranty,1-Year Warranty,1,
Impact,N,487997,1,"Floodlight Reflector - 10""","Floodlight Reflector - 10""",2,298573
Impact,N,487997,2,Porcelain Socket with Adjustable Umbrella Mount (500W),Porcelain Socket with Adjustable Umbrella Mount (500W),2,760136
Impact,N,487997,3,"Light Stand - Black, 6'","Light Stand - Black, 6'",2,359885
Impact,N,487997,4,1-Year Manufacturer's Warranty,1-Year Manufacturer's Warranty,1,
Impact,N,490549,1,"Floodlight Reflector - 12""","Floodlight Reflector - 12""",2,298574
